Pair,Date,M1_Additions,M2_Additions,M1_deletions,M2_deletions,Member_1,Member_2,Total
31,2020-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-06-09,53.0,74.0,62.0,21.0,115.0,95.0,210.0
31,2020-06-10,54.0,0.0,5.0,0.0,59.0,0.0,59.0
32,2020-05-31,44.0,0.0,22.0,0.0,66.0,0.0,66.0
32,2020-05-19,55.0,0.0,0.0,0.0,55.0,0.0,55.0
32,2020-06-03,64.0,0.0,96.0,0.0,160.0,0.0,160.0
32,2020-06-04,0.0,0.0,0.0,8.0,0.0,8.0,8.0
32,2020-06-05,0.0,16.0,0.0,9.0,0.0,25.0,25.0
32,2020-06-06,0.0,28.0,0.0,4.0,0.0,32.0,32.0
32,2020-05-26,0.0,8.0,0.0,0.0,0.0,8.0,8.0
32,2020-05-27,133.0,0.0,6.0,0.0,139.0,0.0,139.0
32,2020-06-10,16.0,0.0,6.0,0.0,22.0,0.0,22.0
32,2020-05-25,0.0,1.0,0.0,1.0,0.0,2.0,2.0
33,2020-06-03,91.0,80.0,92.0,86.0,183.0,166.0,349.0
33,2020-06-02,44.0,3.0,25.0,0.0,69.0,3.0,72.0
33,2020-06-01,70.0,54.0,9.0,45.0,79.0,99.0,178.0
33,2020-06-05,0.0,7.0,0.0,5.0,0.0,12.0,12.0
33,2020-05-30,84.0,56.0,11.0,10.0,95.0,66.0,161.0
33,2020-05-29,101.0,0.0,71.0,0.0,172.0,0.0,172.0
33,2020-05-26,0.0,416.0,0.0,157.0,0.0,573.0,573.0
33,2020-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2020-05-15,159.0,0.0,0.0,0.0,159.0,0.0,159.0
33,2020-06-07,40.0,0.0,11.0,0.0,51.0,0.0,51.0
33,2020-06-08,118.0,89.0,343.0,343.0,461.0,432.0,893.0
33,2020-06-09,0.0,155.0,0.0,74.0,0.0,229.0,229.0
33,2020-06-10,14.0,70.0,8.0,16.0,22.0,86.0,108.0
33,2020-06-04,0.0,11.0,0.0,0.0,0.0,11.0,11.0
33,2020-05-31,0.0,76.0,0.0,91.0,0.0,167.0,167.0
34,2020-06-09,68.0,63.0,25.0,25.0,93.0,88.0,181.0
34,2020-05-29,37.0,0.0,2.0,0.0,39.0,0.0,39.0
34,2020-06-10,31.0,21.0,13.0,13.0,44.0,34.0,78.0
34,2020-05-19,55.0,0.0,0.0,0.0,55.0,0.0,55.0
34,2020-05-22,102.0,62.0,1.0,2.0,103.0,64.0,167.0
34,2020-05-26,36.0,53.0,2.0,3.0,38.0,56.0,94.0
34,2020-05-27,45.0,0.0,5.0,0.0,50.0,0.0,50.0
34,2020-05-28,96.0,0.0,20.0,0.0,116.0,0.0,116.0
34,2020-06-04,0.0,32.0,0.0,17.0,0.0,49.0,49.0
34,2020-05-30,32.0,0.0,6.0,0.0,38.0,0.0,38.0
34,2020-05-31,0.0,111.0,0.0,25.0,0.0,136.0,136.0
34,2020-06-02,68.0,81.0,11.0,26.0,79.0,107.0,186.0
34,2020-06-03,42.0,0.0,34.0,0.0,76.0,0.0,76.0
35,2020-06-04,85.0,51.0,25.0,1.0,110.0,52.0,162.0
35,2020-05-29,92.0,0.0,28.0,0.0,120.0,0.0,120.0
35,2020-06-08,19.0,0.0,25.0,0.0,44.0,0.0,44.0
35,2020-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2020-06-03,263.0,0.0,30.0,0.0,293.0,0.0,293.0
